Month,usg_apt,fg_apt,carrier,type,Total
6,TEB,RIX,LF,Passengers,2
6,TEB,FAB,LF,Passengers,2
6,SJU,POS,3M,Passengers,297
6,SJU,GEO,X9,Passengers,86
6,SJU,DOM,3M,Passengers,63
6,SJU,BGI,3M,Passengers,22
6,RSW,YYZ,DL,Passengers,29
6,ORD,WAW,LO,Passengers,554
6,OPF,NCE,LF,Passengers,2
6,MIA,SCL,5Y,Passengers,1
6,MIA,POS,WL,Passengers,109
6,MIA,PBM,SY,Passengers,149
6,MIA,MAO,WL,Passengers,52
6,MIA,MAO,5Y,Passengers,1
6,MIA,MAD,UX,Passengers,254
6,MIA,LIM,LP,Passengers,940
6,MIA,LIM,DL,Passengers,593
6,MIA,HAV,DL,Passengers,531
6,MIA,CUR,WL,Passengers,2
6,MIA,CPT,SA,Passengers,197
6,MCO,CAY,N8,Passengers,23
6,LAX,NRT,UA,Passengers,390
6,LAX,LIM,DL,Passengers,593
6,JFK,WAW,LO,Passengers,1068
6,JFK,LIM,DL,Passengers,590
6,IAH,LIM,DL,Passengers,293
6,IAH,GEO,X9,Passengers,382
6,IAH,CME,5D,Passengers,98
6,IAD,WAW,LO,Passengers,147
6,IAD,SOF,X9,Passengers,273
6,IAD,NIM,X9,Passengers,38
6,IAD,LPA,X9,Passengers,502
6,IAD,JNB,SA,Passengers,811
6,IAD,CAY,N8,Passengers,32
6,IAD,BBU,X9,Passengers,863
6,HNL,ICN,X9,Passengers,42
6,HHR,CSL,AN,Passengers,2
6,GUM,DAC,X9,Passengers,122
6,EWR,ISL,LF,Passengers,1
6,DTW,DBV,LF,Passengers,2
6,BNA,MTY,LF,Passengers,2
6,ANC,HKG,5Y,Passengers,1
6,AEX,SOF,X9,Passengers,395
6,GUM,PNI,UA,Passengers,1
6,ORD,BOG,VH,Passengers,5
6,YUM,MZT,OO,Passengers,7
6,DFW,YQX,AA,Passengers,20
6,SJU,PUJ,B6,Passengers,21
6,JFK,HEL,AY,Passengers,24
6,DFW,YYZ,KV,Passengers,29
6,LAX,WLG,NZ,Passengers,31
6,GUM,ROR,UA,Passengers,79
6,ALB,YYZ,PT,Passengers,33
6,JFK,PUJ,B6,Passengers,41
6,BUF,YYZ,DL,Passengers,42
6,ORD,YUL,OO,Passengers,44
6,MIA,PUJ,LA,Passengers,44
6,MIA,BOG,LA,Passengers,52
6,GUM,ICN,LJ,Passengers,56
6,PHL,YOW,PT,Passengers,59
6,LAS,YYC,WS,Passengers,72
6,MIA,TER,AA,Passengers,79
6,ORD,FRA,AA,Passengers,79
6,DFW,HUX,MQ,Passengers,93
6,IAH,TLV,LY,Passengers,96
6,DTW,HND,DL,Passengers,104
6,JFK,BGI,B6,Passengers,105
6,FLL,BGI,B6,Passengers,108
6,EWR,SXM,UA,Passengers,108
6,HNL,CEB,PR,Passengers,111
6,MIA,TLV,LY,Passengers,112
6,BOS,RAI,VR,Passengers,114
6,JFK,GND,B6,Passengers,121
